title,handle,vendor,price,status,published,existing_product_id,collection_handle,source_url,logo_source_url,custom_type_multiple,product_features,plans_pricing,pros_cons,seo_title,seo_description,confidence,verification_notes,missing_fields,filters_json
Namecheap Stellar Plus Shared Hosting,namecheap-linux-shared-hosting-stellar-plus,Namecheap,2.98,active,true,9096036385007,linux-shared-hosting,https://www.namecheap.com/hosting/shared/,https://www.namecheap.com,Linux Shared Hosting,"- Unlimited websites
- Unmetered SSD storage
- Unlimited email mailboxes
- AutoBackup included
- Free migration
- Free SSL certificate
- CDN support
- cPanel, SSH access, and LiteSpeed web server","- Stellar Plus: 30-day free trial, then $34.88/year introductory price
- Namecheap also states the plan renews at $74.88/year","- Pros: Unlimited websites and mailboxes on the shared-hosting tier
- Pros: Official page calls out AutoBackup and unmetered SSD storage
- Cons: Renewal price is higher than the intro rate
- Cons: Shared hosting does not provide server-level control",Namecheap Stellar Plus Shared Hosting | Namecheap Linux Shared Hosting,"Namecheap Stellar Plus Shared Hosting from Namecheap with Unlimited websites, Unmetered SSD storage, Unlimited email mailboxes. Lowest advertised price 2.98.",high,- Stellar Plus values verified from official Namecheap shared hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""billing_cycle"":[""Annual""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Small business""]}"
Namecheap Stellar Business Shared Hosting,namecheap-linux-shared-hosting-stellar-business,Namecheap,4.98,active,true,9096036319471,linux-shared-hosting,https://www.namecheap.com/hosting/shared/,https://www.namecheap.com,Linux Shared Hosting,"- Unlimited websites
- 50 GB SSD storage
- Cloud storage architecture
- Unlimited email mailboxes
- AutoBackup included
- Imunify360 security
- Free migration
- Free SSL certificate
- cPanel, SSH access, and LiteSpeed web server","- Stellar Business: 30-day free trial, then $58.88/year introductory price
- Namecheap also states the plan renews at $112.88/year","- Pros: Adds Imunify360 and business-focused storage architecture on the official page
- Pros: Keeps unlimited website support inside a public shared-hosting plan
- Cons: More expensive than the lower Stellar tiers
- Cons: 50 GB storage cap is lower than some unlimited-storage competitors",Namecheap Stellar Business Shared Hosting | Namecheap Linux Shared...,"Namecheap Stellar Business Shared Hosting from Namecheap with Unlimited websites, 50 GB SSD storage, Cloud storage architecture. Lowest advertised price 4.98.",high,- Stellar Business details verified from official Namecheap shared hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""billing_cycle"":[""Annual""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Small business""]}"
ChemiCloud Starter Shared Hosting,chemicloud-linux-shared-hosting-starter,ChemiCloud,2.49,active,true,9096032780527,linux-shared-hosting,https://chemicloud.com/web-hosting,https://chemicloud.com,Linux Shared Hosting,"- 1 website
- 20 GB NVMe storage
- About 25,000 monthly visits
- 1 CPU core
- 2 GB RAM
- 10-day backup retention
- cPanel access
- Free domain, SSL, migration, and CDN","- Starter: $2.49/month advertised price
- Official page estimates suitability for about 25,000 monthly visits","- Pros: Official page publishes CPU, RAM, storage, and backup retention details
- Pros: Includes migration, SSL, and CDN in the entry plan
- Cons: Single-site plan
- Cons: Shortest backup retention in the selected ChemiCloud lineup",ChemiCloud Starter Shared Hosting | ChemiCloud Linux Shared Hosting,"ChemiCloud Starter Shared Hosting from ChemiCloud with 1 website, 20 GB NVMe storage, About 25,000 monthly visits. Lowest advertised price 2.49.",high,- Starter plan values verified from official ChemiCloud web hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Individuals"",""Small business""]}"
ChemiCloud Pro Shared Hosting,chemicloud-linux-shared-hosting-pro,ChemiCloud,3.49,active,true,9096032714991,linux-shared-hosting,https://chemicloud.com/web-hosting,https://chemicloud.com,Linux Shared Hosting,"- Unlimited websites
- 35 GB NVMe storage
- About 50,000 monthly visits
- 2 CPU cores
- 4 GB RAM
- 20-day backup retention
- One-click restore
- cPanel access
- Free domain, SSL, migration, and CDN","- Pro: $3.49/month advertised price
- Official page estimates suitability for about 50,000 monthly visits","- Pros: Adds unlimited websites and longer backup retention over Starter
- Pros: Official page publishes resource increases clearly
- Cons: Storage is still capped at 35 GB
- Cons: Shared environment remains less isolated than VPS plans",ChemiCloud Pro Shared Hosting | ChemiCloud Linux Shared Hosting,"ChemiCloud Pro Shared Hosting from ChemiCloud with Unlimited websites, 35 GB NVMe storage, About 50,000 monthly visits. Lowest advertised price 3.49.",high,- Pro plan details verified from official ChemiCloud web hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Small business""]}"
ChemiCloud Turbo Shared Hosting,chemicloud-linux-shared-hosting-turbo,ChemiCloud,4.49,active,true,9096032846063,linux-shared-hosting,https://chemicloud.com/web-hosting,https://chemicloud.com,Linux Shared Hosting,"- Unlimited websites
- 50 GB NVMe storage
- About 100,000 monthly visits
- 3 CPU cores
- 6 GB RAM
- 30-day backup retention
- HTTP/3 support
- Advanced malware protection
- cPanel access and one-click restore","- Turbo: $4.49/month advertised price
- Official page estimates suitability for about 100,000 monthly visits","- Pros: Longest backup retention and largest resource allocation in the selected ChemiCloud set
- Pros: Official page adds HTTP/3 and advanced malware protection
- Cons: Higher price than the lower ChemiCloud tiers
- Cons: Storage still has a stated cap at 50 GB",ChemiCloud Turbo Shared Hosting | ChemiCloud Linux Shared Hosting,"ChemiCloud Turbo Shared Hosting from ChemiCloud with Unlimited websites, 50 GB NVMe storage, About 100,000 monthly visits. Lowest advertised price 4.49.",high,- Turbo plan inclusions verified from official ChemiCloud web hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Small business"",""Agencies""]}"
TMDHosting Starter Shared Hosting,tmdhosting-linux-shared-hosting-starter,TMDHosting,9.52,active,true,9096037007599,linux-shared-hosting,https://www.tmdhosting.com/shared-hosting.html,https://www.tmdhosting.com,Linux Shared Hosting,"- 1 website
- 50 GB SSD storage
- Standard performance tier
- Free SSL certificate
- LiteSpeed web server
- cPanel and CloudLinux
- SSH and SFTP access
- 15-minute support response target","- Starter: $9.52/month on triennial term
- Annual price shown as $10.71/month; monthly price shown as $11.90/month","- Pros: Official page explicitly labels the product as Linux shared hosting
- Pros: Displays multiple billing-cycle prices publicly instead of hiding monthly pricing
- Cons: Backups are not included on the Starter tier according to the official comparison
- Cons: Single-site allowance",TMDHosting Starter Shared Hosting | TMDHosting Linux Shared Hosting,"TMDHosting Starter Shared Hosting from TMDHosting with 1 website, 50 GB SSD storage, Standard performance tier. Lowest advertised price 9.52.",high,- Starter plan prices and features verified from official TMDHosting shared hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""billing_cycle"":[""Monthly"",""Annual""],""performance_tier"":[""Standard""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support""],""target_segment"":[""Small business""]}"
TMDHosting Business Shared Hosting,tmdhosting-linux-shared-hosting-business,TMDHosting,12.72,active,true,9096036876527,linux-shared-hosting,https://www.tmdhosting.com/shared-hosting.html,https://www.tmdhosting.com,Linux Shared Hosting,"- Unlimited websites
- 100 GB SSD storage
- Performance x2
- 30 backups included
- Free SSL certificate
- LiteSpeed web server
- cPanel and CloudLinux
- SSH and SFTP access
- 15-minute support response target","- Business: $12.72/month on triennial term
- Annual price shown as $14.31/month; monthly price shown as $15.90/month","- Pros: Adds included backups and higher performance over Starter
- Pros: Multiple billing-cycle prices are visible on the official page
- Cons: More expensive than lower shared-hosting plans in this project
- Cons: Storage still has a fixed 100 GB cap",TMDHosting Business Shared Hosting | TMDHosting Linux Shared Hosting,"TMDHosting Business Shared Hosting from TMDHosting with Unlimited websites, 100 GB SSD storage, Performance x2. Lowest advertised price 12.72.",high,- Business plan values verified from official TMDHosting shared hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""$10-$50/month""],""billing_cycle"":[""Monthly"",""Annual""],""performance_tier"":[""Premium""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support""],""target_segment"":[""Small business"",""Agencies""]}"
TMDHosting Enterprise Shared Hosting,tmdhosting-linux-shared-hosting-enterprise,TMDHosting,19.12,active,true,9096036942063,linux-shared-hosting,https://www.tmdhosting.com/shared-hosting.html,https://www.tmdhosting.com,Linux Shared Hosting,"- Unlimited websites
- Unlimited SSD storage
- Performance x4
- 30 backups included
- Free SSL certificate
- LiteSpeed web server
- cPanel and CloudLinux
- SSH and SFTP access
- 15-minute support response target","- Enterprise: $19.12/month on triennial term
- Annual price shown as $21.51/month; monthly price shown as $23.90/month","- Pros: Highest relative performance in the selected TMDHosting shared lineup
- Pros: Official page includes unlimited SSD storage on this tier
- Cons: Highest price in the selected TMDHosting set
- Cons: Still shared hosting despite the larger allowances",TMDHosting Enterprise Shared Hosting | TMDHosting Linux Shared Hosting,"TMDHosting Enterprise Shared Hosting from TMDHosting with Unlimited websites, Unlimited SSD storage, Performance x4. Lowest advertised price 19.12.",high,- Enterprise plan details verified from official TMDHosting shared hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""$10-$50/month""],""billing_cycle"":[""Monthly"",""Annual""],""performance_tier"":[""Enterprise""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support""],""target_segment"":[""Small business"",""Agencies""]}"
HostPapa Essentials Shared Hosting,hostpapa-linux-shared-hosting-essentials,HostPapa,2.95,active,true,9096034779375,linux-shared-hosting,https://www.hostpapa.com/web-hosting-plan/,https://www.hostpapa.com,Linux Shared Hosting,"- 1 website
- 25 GB NVMe storage
- 1x resources
- Free SSL certificate
- CDN support
- Performance-tuned hosting
- Website builder and migration-friendly onboarding materials","- Essentials: $2.95/month advertised price
- HostPapa lists 1x resources on the official page","- Pros: Low starting price with NVMe storage on the official page
- Pros: Easy entry point for single-site shared hosting
- Cons: Limited to 1 website
- Cons: Smallest storage and resource allocation in the selected HostPapa lineup",HostPapa Essentials Shared Hosting | HostPapa Linux Shared Hosting,"HostPapa Essentials Shared Hosting from HostPapa with 1 website, 25 GB NVMe storage, 1x resources. Lowest advertised price 2.95.",high,- Essentials plan price and capacities verified from official HostPapa web hosting plans page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Individuals"",""Small business""]}"
HostPapa Growth Shared Hosting,hostpapa-linux-shared-hosting-growth,HostPapa,5.95,active,true,9096034713839,linux-shared-hosting,https://www.hostpapa.com/web-hosting-plan/,https://www.hostpapa.com,Linux Shared Hosting,"- 5 websites
- 100 GB NVMe storage
- 2x resources
- Free SSL certificate
- CDN support
- Performance-tuned hosting
- Website tools and onboarding resources","- Growth: $5.95/month advertised price
- HostPapa lists 2x resources on the official page","- Pros: Supports multiple websites while staying in shared hosting
- Pros: 100 GB NVMe storage is a large step up from Essentials
- Cons: Still a capped website count
- Cons: Less capacity than Premium and Elite",HostPapa Growth Shared Hosting | HostPapa Linux Shared Hosting,"HostPapa Growth Shared Hosting from HostPapa with 5 websites, 100 GB NVMe storage, 2x resources. Lowest advertised price 5.95.",high,- Growth plan values verified from official HostPapa web hosting plans page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Small business""]}"
HostPapa Premium Shared Hosting,hostpapa-linux-shared-hosting-premium,HostPapa,6.95,active,true,9096034582767,linux-shared-hosting,https://www.hostpapa.com/web-hosting-plan/,https://www.hostpapa.com,Linux Shared Hosting,"- Unlimited websites
- 200 GB NVMe storage
- 4x resources
- Free SSL certificate
- CDN support
- Performance-tuned hosting
- Website tools and onboarding resources","- Premium: $6.95/month advertised price
- HostPapa lists 4x resources on the official page","- Pros: Unlimited sites with a larger 200 GB NVMe allocation
- Pros: Official page shows a stronger resource multiplier than Growth
- Cons: Higher starting price than the lower HostPapa plans
- Cons: Storage remains capped below Elite's unmetered option",HostPapa Premium Shared Hosting | HostPapa Linux Shared Hosting,"HostPapa Premium Shared Hosting from HostPapa with Unlimited websites, 200 GB NVMe storage, 4x resources. Lowest advertised price 6.95.",high,- Premium plan details verified from official HostPapa web hosting plans page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Small business"",""Agencies""]}"
HostPapa Elite Shared Hosting,hostpapa-linux-shared-hosting-elite,HostPapa,9.95,active,true,9096034648303,linux-shared-hosting,https://www.hostpapa.com/web-hosting-plan/,https://www.hostpapa.com,Linux Shared Hosting,"- Unlimited websites
- Unmetered NVMe storage
- 8x resources
- Free SSL certificate
- CDN support
- Performance-tuned hosting
- Website tools and onboarding resources","- Elite: $9.95/month advertised price
- HostPapa lists 8x resources on the official page","- Pros: Largest advertised resource tier in the selected HostPapa lineup
- Pros: Unmetered NVMe storage is listed on the official page
- Cons: Highest price among the selected HostPapa plans
- Cons: Still shared hosting rather than isolated infrastructure",HostPapa Elite Shared Hosting | HostPapa Linux Shared Hosting,"HostPapa Elite Shared Hosting from HostPapa with Unlimited websites, Unmetered NVMe storage, 8x resources. Lowest advertised price 9.95.",high,- Elite plan values verified from official HostPapa web hosting plans page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""control_panel"":[""cPanel""],""support_coverage"":[""24/7 support"",""Migration / onboarding help""],""target_segment"":[""Small business"",""Agencies""]}"
IONOS Essential Shared Hosting,ionos-linux-shared-hosting-essential,IONOS,4,active,true,9096035369199,linux-shared-hosting,https://www.ionos.com/hosting/linux-hosting,https://www.ionos.com,Linux Shared Hosting,"- 1 website
- 10 GB storage
- 10 databases
- 512 MB PHP memory
- SFTP access
- Wildcard SSL certificate
- Daily backup
- DDoS protection
- Geo-redundant infrastructure","- Essential: $4/month for the first year
- IONOS states the plan renews at $8/month after year one","- Pros: Official page clearly separates intro and renewal pricing
- Pros: Linux hosting page includes daily backup and wildcard SSL
- Cons: Single-site plan
- Cons: Smallest storage allocation in the selected IONOS lineup",IONOS Essential Shared Hosting | IONOS Linux Shared Hosting,"IONOS Essential Shared Hosting from IONOS with 1 website, 10 GB storage, 10 databases. Lowest advertised price 4.",high,- Essential plan values verified from official IONOS Linux Hosting page,custom.logo_image,"{""hosting_type"":[""Shared hosting""],""pricing_model"":[""Subscription""],""price_band"":[""Under $10/month""],""billing_cycle"":[""Annual""],""security_compliance"":[""ISO 27001""],""support_coverage"":[""24/7 support""],""target_segment"":[""Individuals"",""Small business""]}"
