profile_id,profile_label,category_slug,filter_order,group_label,filter_id,display_label,admin_label,input,searchable_values,namespace,metafield_key,recommended_definition_type,fallback_definition_type,allowed_values,notes
ai-tools,AI Tools,ai-tools,11,Support & Success,support_coverage,Support level,Support level,multi_select,FALSE,marketplace,support_coverage,metaobject_reference_list,single_line_text_field_list,Documentation only | Business hours support | 24/7 support | Priority support | Dedicated manager | Migration / onboarding help,Normalize support signals into tiers rather than many overlapping channels.
cloud-services,Cloud Services,cloud-services,1,Capability & Deployment,hosting_type,Hosting type,Hosting type,multi_select,FALSE,marketplace,hosting_type,metaobject_reference_list,single_line_text_field_list,Shared hosting | Managed WordPress | VPS | Dedicated server | Cloud hosting | Reseller hosting,Avoid duplicating hosting type values inside the broader target/use case facet.
cloud-services,Cloud Services,cloud-services,2,Plan & Pricing,pricing_model,Pricing model,Pricing model,multi_select,FALSE,marketplace,pricing_model,metaobject_reference_list,single_line_text_field_list,Free | Freemium | Subscription | Usage-based | One-time purchase | Custom quote,Use controlled options so spelling mistakes cannot create new filter values.
cloud-services,Cloud Services,cloud-services,3,Plan & Pricing,price_band,Starting price,Starting price,multi_select,FALSE,marketplace,price_band,metaobject_reference_list,single_line_text_field_list,Free | Under $10/month | $10-$50/month | $51-$200/month | $201-$500/month | Over $500/month,Keep shared price buckets across categories to improve consistency.
cloud-services,Cloud Services,cloud-services,4,Plan & Pricing,billing_cycle,Billing cycle,Billing cycle,multi_select,FALSE,marketplace,billing_cycle,metaobject_reference_list,single_line_text_field_list,Monthly | Quarterly | Annual | Usage-based | Custom contract,Only keep the most decision-relevant cycles.
cloud-services,Cloud Services,cloud-services,5,Capability & Deployment,performance_tier,Performance tier,Performance tier,multi_select,FALSE,marketplace,performance_tier,metaobject_reference_list,single_line_text_field_list,Standard | Premium | Enterprise | High availability,Enterprise buyers compare tiers faster than they compare many low-level resource buckets.
cloud-services,Cloud Services,cloud-services,6,Capability & Deployment,server_region,Server region,Server region,multi_select,FALSE,marketplace,server_region,metaobject_reference_list,single_line_text_field_list,USA | Europe | India | Asia-Pacific | Multi-region | Global edge / CDN,Prefer normalized regions over many country-level values.
cloud-services,Cloud Services,cloud-services,7,Capability & Deployment,control_panel,Control panel,Control panel,multi_select,FALSE,marketplace,control_panel,metaobject_reference_list,single_line_text_field_list,cPanel | Plesk | DirectAdmin | Custom panel | No control panel,Keep only top control panel families instead of mixing with OS and stack details.
cloud-services,Cloud Services,cloud-services,8,Security & Compliance,security_compliance,Security & compliance,Security & compliance,multi_select,FALSE,marketplace,security_compliance,metaobject_reference_list,single_line_text_field_list,GDPR | SOC 2 | ISO 27001 | HIPAA | CCPA | SSO / RBAC | Audit logs,Prefer policy-grade signals over low-level feature checklists.
cloud-services,Cloud Services,cloud-services,9,Support & Success,support_coverage,Support level,Support level,multi_select,FALSE,marketplace,support_coverage,metaobject_reference_list,single_line_text_field_list,Documentation only | Business hours support | 24/7 support | Priority support | Dedicated manager | Migration / onboarding help,Normalize support signals into tiers rather than many overlapping channels.
cloud-services,Cloud Services,cloud-services,10,Audience & Use Case,target_segment,Best for,Best for,multi_select,FALSE,marketplace,target_segment,metaobject_reference_list,single_line_text_field_list,Individuals | Small business | Mid-market | Enterprise | Agencies | Developers | Education / public sector,Consolidates persona and audience filters into one enterprise-friendly facet.
marketplace-search,Marketplace Search,,1,Plan & Pricing,pricing_model,Pricing model,Pricing model,multi_select,FALSE,marketplace,pricing_model,metaobject_reference_list,single_line_text_field_list,Free | Freemium | Subscription | Usage-based | One-time purchase | Custom quote,Use controlled options so spelling mistakes cannot create new filter values.
marketplace-search,Marketplace Search,,2,Plan & Pricing,price_band,Starting price,Starting price,multi_select,FALSE,marketplace,price_band,metaobject_reference_list,single_line_text_field_list,Free | Under $10/month | $10-$50/month | $51-$200/month | $201-$500/month | Over $500/month,Keep shared price buckets across categories to improve consistency.
marketplace-search,Marketplace Search,,3,Capability & Deployment,deployment_model,Deployment model,Deployment model,multi_select,FALSE,marketplace,deployment_model,metaobject_reference_list,single_line_text_field_list,Cloud / SaaS | Self-hosted | On-premise | Hybrid | API-first | Edge / on-device,Use one global deployment vocabulary across AI tools and software.
marketplace-search,Marketplace Search,,4,Audience & Use Case,target_segment,Best for,Best for,multi_select,FALSE,marketplace,target_segment,metaobject_reference_list,single_line_text_field_list,Individuals | Small business | Mid-market | Enterprise | Agencies | Developers | Education / public sector,Consolidates persona and audience filters into one enterprise-friendly facet.
marketplace-search,Marketplace Search,,5,Audience & Use Case,primary_use_case,Primary use case,Primary use case,multi_select,TRUE,marketplace,primary_use_case,metaobject_reference_list,single_line_text_field_list,Automation | Analytics & reporting | Content creation | Customer support | Developer workflow | E-commerce operations | Infrastructure & hosting | Security & governance,Keep the vocabulary broad enough that it remains usable across multiple categories.
marketplace-search,Marketplace Search,,6,Capability & Deployment,integrations,Integrations,Integrations,multi_select,TRUE,marketplace,integrations,metaobject_reference_list,single_line_text_field_list,API / webhooks | Zapier / Make | Shopify | WordPress / WooCommerce | Google / Microsoft | Slack / collaboration tools,Use a short curated list of ecosystems instead of every possible integration.
marketplace-search,Marketplace Search,,7,Security & Compliance,security_compliance,Security & compliance,Security & compliance,multi_select,FALSE,marketplace,security_compliance,metaobject_reference_list,single_line_text_field_list,GDPR | SOC 2 | ISO 27001 | HIPAA | CCPA | SSO / RBAC | Audit logs,Prefer policy-grade signals over low-level feature checklists.
marketplace-search,Marketplace Search,,8,Support & Success,support_coverage,Support level,Support level,multi_select,FALSE,marketplace,support_coverage,metaobject_reference_list,single_line_text_field_list,Documentation only | Business hours support | 24/7 support | Priority support | Dedicated manager | Migration / onboarding help,Normalize support signals into tiers rather than many overlapping channels.
software,Software,software,1,Capability & Deployment,software_type,Software type,Software type,multi_select,TRUE,marketplace,software_type,metaobject_reference_list,single_line_text_field_list,Productivity | CRM & sales | Helpdesk & support | E-commerce tools | Marketing automation | Finance & operations | Developer tools | Design & content,Keep this facet broad and category-like; detailed features belong deeper in comparison views.
software,Software,software,2,Audience & Use Case,target_segment,Best for,Best for,multi_select,FALSE,marketplace,target_segment,metaobject_reference_list,single_line_text_field_list,Individuals | Small business | Mid-market | Enterprise | Agencies | Developers | Education / public sector,Consolidates persona and audience filters into one enterprise-friendly facet.
software,Software,software,3,Audience & Use Case,primary_use_case,Primary use case,Primary use case,multi_select,TRUE,marketplace,primary_use_case,metaobject_reference_list,single_line_text_field_list,Automation | Analytics & reporting | Content creation | Customer support | Developer workflow | E-commerce operations | Infrastructure & hosting | Security & governance,Keep the vocabulary broad enough that it remains usable across multiple categories.
software,Software,software,4,Plan & Pricing,pricing_model,Pricing model,Pricing model,multi_select,FALSE,marketplace,pricing_model,metaobject_reference_list,single_line_text_field_list,Free | Freemium | Subscription | Usage-based | One-time purchase | Custom quote,Use controlled options so spelling mistakes cannot create new filter values.
software,Software,software,5,Plan & Pricing,price_band,Starting price,Starting price,multi_select,FALSE,marketplace,price_band,metaobject_reference_list,single_line_text_field_list,Free | Under $10/month | $10-$50/month | $51-$200/month | $201-$500/month | Over $500/month,Keep shared price buckets across categories to improve consistency.
software,Software,software,6,Capability & Deployment,deployment_model,Deployment model,Deployment model,multi_select,FALSE,marketplace,deployment_model,metaobject_reference_list,single_line_text_field_list,Cloud / SaaS | Self-hosted | On-premise | Hybrid | API-first | Edge / on-device,Use one global deployment vocabulary across AI tools and software.
software,Software,software,7,Capability & Deployment,integrations,Integrations,Integrations,multi_select,TRUE,marketplace,integrations,metaobject_reference_list,single_line_text_field_list,API / webhooks | Zapier / Make | Shopify | WordPress / WooCommerce | Google / Microsoft | Slack / collaboration tools,Use a short curated list of ecosystems instead of every possible integration.
software,Software,software,8,Support & Success,collaboration_mode,Collaboration,Collaboration,multi_select,FALSE,marketplace,collaboration_mode,metaobject_reference_list,single_line_text_field_list,Single-user | Team sharing | Real-time collaboration | Roles & permissions | Guest review,A focused team-working facet is more useful than many disconnected collaboration toggles.
software,Software,software,9,Capability & Deployment,developer_features,Developer features,Developer features,multi_select,FALSE,marketplace,developer_features,metaobject_reference_list,single_line_text_field_list,API access | SDKs | Webhooks | Sandbox environment | OAuth / SSO | CLI tools,Reserve this facet for products where implementation depth is part of the buying decision.
software,Software,software,10,Security & Compliance,security_compliance,Security & compliance,Security & compliance,multi_select,FALSE,marketplace,security_compliance,metaobject_reference_list,single_line_text_field_list,GDPR | SOC 2 | ISO 27001 | HIPAA | CCPA | SSO / RBAC | Audit logs,Prefer policy-grade signals over low-level feature checklists.
software,Software,software,11,Support & Success,support_coverage,Support level,Support level,multi_select,FALSE,marketplace,support_coverage,metaobject_reference_list,single_line_text_field_list,Documentation only | Business hours support | 24/7 support | Priority support | Dedicated manager | Migration / onboarding help,Normalize support signals into tiers rather than many overlapping channels.
